source,selection,sample_label,target_redshift,z_min,z_max,area_deg2,magnitude_limit,complete_for_magnitude_limit,bin_index,apparent_magnitude_min,apparent_magnitude_center,apparent_magnitude_max,count,surface_density_deg2_mag,surface_density_deg2_mag_std,log10_surface_density_deg2_mag,log10_surface_density_deg2_mag_std
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,0,16.0,16.125,16.25,0,0.0,0.0,nan,nan
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,1,16.25,16.375,16.5,0,0.0,0.0,nan,nan
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,2,16.5,16.625,16.75,0,0.0,0.0,nan,nan
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,3,16.75,16.875,17.0,0,0.0,0.0,nan,nan
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,4,17.0,17.125,17.25,0,0.0,0.0,nan,nan
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,5,17.25,17.375,17.5,0,0.0,0.0,nan,nan
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,6,17.5,17.625,17.75,0,0.0,0.0,nan,nan
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,7,17.75,17.875,18.0,0,0.0,0.0,nan,nan
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,8,18.0,18.125,18.25,0,0.0,0.0,nan,nan
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,9,18.25,18.375,18.5,2,14.814814814814813,10.475656017578482,1.170696227168975,0.3070925731856877
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,10,18.5,18.625,18.75,1,7.4074074074074066,7.4074074074074066,0.8696662315049938,0.43429448190325176
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,11,18.75,18.875,19.0,8,59.25925925925925,20.951312035156963,1.7727562184969374,0.15354628659284386
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,12,19.0,19.125,19.25,17,125.92592592592592,30.54152315272341,2.100115152883268,0.10533188361823556
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,13,19.25,19.375,19.5,38,281.48148148148147,45.66232594791834,2.449449828121804,0.07045186804359374
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,14,19.5,19.625,19.75,76,562.9629629629629,64.57628064504702,2.7504798237857853,0.04981699364088497
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,15,19.75,19.875,20.0,140,1037.037037037037,87.6456264162906,3.015794267183232,0.036704582918565
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,16,20.0,20.125,20.25,216,1600.0,108.86621079036347,3.2041199826559246,0.02954999663248194
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,17,20.25,20.375,20.5,338,2503.7037037037035,136.18352822852026,3.3985829317826486,0.023622505629668285
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,18,20.5,20.625,20.75,435,3222.222222222222,154.49373047862377,3.5081554884596313,0.020822826611021753
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,19,20.75,20.875,21.0,596,4414.814814814815,180.83786097383262,3.6449124912452304,0.01778939512402113
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,20,21.0,21.125,21.25,701,5192.592592592592,196.12151547961076,3.7153842494716525,0.016403076196812052
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,21,21.25,21.375,21.5,858,6355.555555555555,216.97508912410086,3.803153519353699,0.014826569147789678
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,22,21.5,21.625,21.75,1077,7977.777777777777,243.09391231736203,3.9018819348029754,0.01323355295728871
COSMOS-Web/COSMOS2025 F150W,catalog_available,z1.00,1.0,0.75,1.25,0.54,26.0,True,23,21.75,21.875,22.0,1197,8866.666666666666,256.2791687704621,3.9477603819114044,0.012552702498920737
