source,bin_index,z_min,z_center,z_max,dz,count,area_deg2,weighted_surface_density_deg2,dN_dz_deg2,dN_dz_deg2_std,cumulative_surface_density_deg2
COSMOS-Web/COSMOS2025 F150W,0,0.0,0.025,0.05,0.05,2714,0.54,5025.925925925925,100518.5185185185,1929.4838929823857,5025.925925925925
COSMOS-Web/COSMOS2025 F150W,1,0.05,0.07500000000000001,0.1,0.05,2566,0.54,4751.851851851851,95037.03703703702,1876.137058061324,9777.777777777777
COSMOS-Web/COSMOS2025 F150W,2,0.1,0.125,0.15000000000000002,0.05000000000000002,3742,0.54,6929.62962962963,138592.59259259255,2265.625517359573,16707.40740740741
COSMOS-Web/COSMOS2025 F150W,3,0.15000000000000002,0.17500000000000002,0.2,0.04999999999999999,3350,0.54,6203.7037037037035,124074.0740740741,2143.6735005167084,22911.111111111113
COSMOS-Web/COSMOS2025 F150W,4,0.2,0.225,0.25,0.04999999999999999,4069,0.54,7535.185185185184,150703.7037037037,2362.5449531580834,30446.2962962963
COSMOS-Web/COSMOS2025 F150W,5,0.25,0.275,0.30000000000000004,0.050000000000000044,3092,0.54,5725.925925925925,114518.51851851841,2059.4724110307898,36172.222222222226
COSMOS-Web/COSMOS2025 F150W,6,0.30000000000000004,0.32500000000000007,0.35000000000000003,0.04999999999999999,5700,0.54,10555.555555555555,211111.11111111115,2796.2349760262036,46727.77777777778
COSMOS-Web/COSMOS2025 F150W,7,0.35000000000000003,0.375,0.4,0.04999999999999999,3749,0.54,6942.592592592592,138851.85185185188,2267.7436318283903,53670.37037037037
COSMOS-Web/COSMOS2025 F150W,8,0.4,0.42500000000000004,0.45,0.04999999999999999,2828,0.54,5237.0370370370365,104740.74074074076,1969.590488934568,58907.40740740741
COSMOS-Web/COSMOS2025 F150W,9,0.45,0.475,0.5,0.04999999999999999,3080,0.54,5703.7037037037035,114074.07407407409,2055.472137112831,64611.11111111111
COSMOS-Web/COSMOS2025 F150W,10,0.5,0.525,0.55,0.050000000000000044,4161,0.54,7705.555555555555,154111.11111111095,2389.1042107955736,72316.66666666666
COSMOS-Web/COSMOS2025 F150W,11,0.55,0.5750000000000001,0.6000000000000001,0.050000000000000044,5257,0.54,9735.185185185184,194703.7037037035,2685.3767492332145,82051.85185185184
COSMOS-Web/COSMOS2025 F150W,12,0.6000000000000001,0.625,0.65,0.04999999999999993,4286,0.54,7937.0370370370365,158740.74074074093,2424.724044938212,89988.88888888888
COSMOS-Web/COSMOS2025 F150W,13,0.65,0.675,0.7000000000000001,0.050000000000000044,5986,0.54,11085.185185185184,221703.70370370348,2865.527575390323,101074.07407407406
COSMOS-Web/COSMOS2025 F150W,14,0.7000000000000001,0.7250000000000001,0.75,0.04999999999999993,8369,0.54,15498.148148148148,309962.9629629634,3388.2310634561254,116572.2222222222
COSMOS-Web/COSMOS2025 F150W,15,0.75,0.775,0.8,0.050000000000000044,4619,0.54,8553.703703703703,171074.0740740739,2517.1564944512857,125125.92592592591
COSMOS-Web/COSMOS2025 F150W,16,0.8,0.8250000000000001,0.8500000000000001,0.050000000000000044,4438,0.54,8218.518518518518,164370.37037037022,2467.3450296216965,133344.44444444444
COSMOS-Web/COSMOS2025 F150W,17,0.8500000000000001,0.875,0.9,0.04999999999999993,9016,0.54,16696.296296296296,333925.92592592636,3516.7636949538473,150040.74074074073
